,Stock_Codes,Company_Name
587,505658,REMI PROCESS PLANT & MACHINERY LTD.
588,505665,ABC BEARINGS LTD.
589,505681,BIMETAL BEARINGS LTD.
590,505685,TAPARIA TOOLS LTD.
591,505688,BHARAT GEARS LTD.
592,505690,BRADY & MORRIS ENGINEERING CO.LTD.
593,505693,La Tim Metal & Industries Ltd
594,505700,ELECON ENGINEERING CO.LTD.
595,505703,DECCAN BEARINGS LTD.
596,505710,GRAUER & WEIL (INDIA) LTD.
597,505711,GAJRA BEVEL GEARS LTD.
598,505712,Him Teknoforge Ltd
599,505714,GABRIEL INDIA LTD.
600,505720,HERCULES HOISTS LTD.
601,505725,Algoquant Fintech Ltd
602,505726,IFB INDUSTRIES LTD.
603,505729,SINGER INDIA LTD.
604,505737,INTERNATIONAL COMBUSTION (INDIA) LTD.
605,505744,FEDERAL-MOGUL GOETZE (INDIA) LTD.
606,505750,JOST'S ENGINEERING CO.LTD.
607,505790,Schaeffler India Ltd
608,505797,MIPCO SEAMLESS RINGS (GUJARAT) LTD.
609,505800,RANE HOLDINGS LTD.
610,505807,ROLCON ENGINEERING CO.LTD.
611,505817,REIL ELECTRICALS INDIA LTD.
612,505827,SNL BEARINGS LTD.
613,505840,JAIPAN INDUSTRIES LTD.
614,505850,MANGAL CREDIT AND FINCORP LTD.
615,505854,TRF LTD.
616,505872,WPIL LTD.
617,505890,KENNAMETAL INDIA LTD.
618,505893,Hindustan Hardy Ltd
619,505930,VISHAL MALLEABLES LTD.
620,505978,TRITON VALVES LTD.
621,505982,HINDUJA FOUNDRIES LTD.
622,506003,SUDAL INDUSTRIES LTD.
623,506016,JRI Industries & Infrastructure Limited
